No.,회계연도,소관명,(세입)예산현액(원),(세입)수납액(원),(세입)증감액(원),(세출)예산현액(원),(세출)지출액(원),(세출)증감액(원),다음년도이월액(원),불용액(원)
"1","2024","10·29이태원참사 진상규명과 재발방지를 위한 특별조사위원회",0,0,0,"890,000,000","785,251,770","104,748,230",0,"104,748,230"
"2","2024","5·18민주화운동 진상규명조사위원회",0,"1,051,737,990","1,051,737,990","6,888,000,000","5,571,427,510","1,316,572,490",0,"1,316,572,490"
"3","2024","감사원","745,000,000","772,115,140","27,115,140","147,335,254,010","140,717,231,770","6,618,022,240","2,658,615,250","3,959,406,990"
"4","2024","개인정보보호위원회","40,834,000,000","32,366,116,420","-8,467,883,580","66,202,930,000","65,063,147,960","1,139,782,040",0,"1,139,782,040"
"5","2024","경찰청","1,370,726,000,000","1,550,839,117,160","180,113,117,160","13,071,295,788,290","12,977,705,223,350","93,590,564,940","7,358,119,080","86,232,445,860"
"6","2024","고용노동부","342,259,000,000","212,560,527,830","-129,698,472,170","6,355,016,872,330","6,133,481,964,040","221,534,908,290","2,622,898,910","218,912,009,380"
"7","2024","고위공직자범죄수사처",0,"180,608,390","180,608,390","20,680,100,000","18,273,959,420","2,406,140,580","122,660,580","2,283,480,000"
"8","2024","공정거래위원회","450,162,000,000","172,922,374,460","-277,239,625,540","160,309,059,720","155,613,709,860","4,695,349,860","198,748,340","4,496,601,520"
"9","2024","과학기술정보통신부","12,909,076,000,000","12,840,492,592,030","-68,583,407,970","22,031,100,894,040","20,668,635,676,380","1,362,465,217,660","72,500,834,620","1,289,964,383,040"
"10","2024","관세청","120,072,000,000","37,344,725,900","-82,727,274,100","669,550,884,210","659,248,911,130","10,301,973,080","441,269,730","9,860,703,350"
"11","2024","교육부","19,371,162,000,000","19,425,646,277,140","54,484,277,140","111,163,373,488,140","106,441,595,565,090","4,721,777,923,050","15,542,740,890","4,706,235,182,160"
"12","2024","국가교육위원회",0,0,0,"11,419,266,960","9,381,805,730","2,037,461,230","849,273,340","1,188,187,890"
"13","2024","국가보훈부","10,027,000,000","6,155,468,360","-3,871,531,640","6,308,658,026,010","6,259,532,259,470","49,125,766,540","10,656,325,130","38,469,441,410"
"14","2024","국가유산청","53,417,000,000","50,068,060,800","-3,348,939,200","1,239,038,947,490","1,187,157,949,210","51,880,998,280","25,467,430,510","26,413,567,770"
"15","2024","국가인권위원회","27,000,000","48,329,100","21,329,100","41,687,460,040","39,533,747,570","2,153,712,470",0,"2,153,712,470"
"16","2024","국가정보원","7,176,000,000","8,655,047,620","1,479,047,620","892,100,000,000","824,491,163,640","67,608,836,360","5,244,122,000","62,364,714,360"
"17","2024","국무조정실 및 국무총리비서실","23,000,000","81,662,880","58,662,880","662,356,218,540","634,934,468,710","27,421,749,830","654,000,000","26,767,749,830"
"18","2024","국민권익위원회","892,000,000","684,250,500","-207,749,500","112,787,683,000","107,996,064,330","4,791,618,670","3,236,440,300","1,555,178,370"
"19","2024","국방부","1,461,219,000,000","1,863,992,133,240","402,773,133,240","44,054,701,448,480","42,504,844,226,780","1,549,857,221,700","778,740,159,120","771,117,062,580"
"20","2024","국세청","364,074,000,000","366,797,420,030","2,723,420,030","1,951,242,000,000","1,934,676,105,840","16,565,894,160",0,"16,565,894,160"
"21","2024","국토교통부","16,170,428,000,000","15,964,377,109,100","-206,050,890,900","40,420,011,494,310","37,612,735,555,420","2,807,275,938,890","669,665,944,900","2,137,609,993,990"
"22","2024","국회","4,345,000,000","3,663,179,310","-681,820,690","776,975,351,360","712,836,835,150","64,138,516,210","26,237,124,640","37,901,391,570"
"23","2024","금융위원회","89,629,000,000","144,616,003,530","54,987,003,530","4,003,565,500,000","3,999,429,309,310","4,136,190,690","40,000,000","4,096,190,690"
"24","2024","기상청","8,505,000,000","8,653,643,110","148,643,110","460,416,824,130","449,669,327,670","10,747,496,460","2,362,624,720","8,384,871,740"
"25","2024","기획재정부","453,852,448,360,000","440,622,091,407,180","-13,230,356,952,820","31,223,746,357,080","28,354,376,105,860","2,869,370,251,220","2,130,744,790","2,867,239,506,430"
"26","2024","농림축산식품부","17,312,657,000,000","16,606,963,276,150","-705,693,723,850","22,981,643,721,790","20,707,110,216,390","2,274,533,505,400","1,785,621,156,870","488,912,348,530"
"27","2024","농촌진흥청","15,286,000,000","15,650,916,310","364,916,310","1,102,942,426,450","1,064,247,077,150","38,695,349,300","10,942,816,480","27,752,532,820"
"28","2024","대법원","993,640,000,000","753,648,565,550","-239,991,434,450","2,267,454,896,810","2,108,634,692,990","158,820,203,820","17,264,292,450","141,555,911,370"
"29","2024","대통령경호처","532,000,000","559,390,750","27,390,750","139,765,084,000","127,012,298,720","12,752,785,280","230,650,000","12,522,135,280"
"30","2024","대통령비서실 및 국가안보실","297,000,000","886,791,320","589,791,320","103,102,000,000","92,784,439,840","10,317,560,160",0,"10,317,560,160"
"31","2024","문화체육관광부","214,632,000,000","328,123,737,700","113,491,737,700","3,940,660,832,050","3,718,989,533,790","221,671,298,260","110,539,831,300","111,131,466,960"
"32","2024","민주평화통일자문회의","5,000,000","7,393,260","2,393,260","34,974,000,000","33,995,918,810","978,081,190",0,"978,081,190"
"33","2024","방송통신위원회","30,844,000,000","8,074,688,130","-22,769,311,870","49,251,000,000","48,006,026,500","1,244,973,500","317,000,000","927,973,500"
"34","2024","방위사업청","345,418,000,000","544,993,324,010","199,575,324,010","17,916,708,061,690","17,140,019,549,840","776,688,511,850","296,195,506,310","480,493,005,540"
"35","2024","법무부","1,445,459,000,000","1,645,616,659,390","200,157,659,390","4,427,902,354,860","4,374,178,910,250","53,723,444,610","10,092,514,060","43,630,930,550"
"36","2024","법제처",0,"3,008,560","3,008,560","45,418,000,000","44,290,327,750","1,127,672,250",0,"1,127,672,250"
"37","2024","병무청","336,000,000","444,299,540","108,299,540","411,873,000,000","390,891,905,330","20,981,094,670",0,"20,981,094,670"
"38","2024","보건복지부","1,206,106,000,000","1,286,182,627,550","80,076,627,550","73,757,823,012,600","72,594,733,598,360","1,163,089,414,240","11,450,977,430","1,151,638,436,810"
"39","2024","산림청","1,156,544,000,000","1,117,936,051,920","-38,607,948,080","3,648,946,968,420","3,516,644,123,570","132,302,844,850","74,424,481,180","57,878,363,670"
"40","2024","산업통상자원부","8,610,334,000,000","7,637,881,149,810","-972,452,850,190","11,341,033,647,660","11,060,021,323,430","281,012,324,230","6,464,543,200","274,547,781,030"
"41","2024","새만금개발청","8,892,000,000","10,893,889,840","2,001,889,840","48,603,736,640","33,310,100,480","15,293,636,160","1,228,164,970","14,065,471,190"
"42","2024","소방청","4,349,000,000","4,914,894,650","565,894,650","369,034,148,940","330,271,837,560","38,762,311,380","32,129,132,000","6,633,179,380"
"43","2024","식품의약품안전처","37,582,000,000","35,039,919,340","-2,542,080,660","722,564,613,270","701,303,673,390","21,260,939,880","3,538,622,050","17,722,317,830"
"44","2024","여성가족부","38,156,000,000","48,934,730,380","10,778,730,380","775,095,764,620","763,062,118,550","12,033,646,070","2,761,384,960","9,272,261,110"
"45","2024","외교부","277,323,000,000","368,412,090,840","91,089,090,840","4,056,956,540,800","3,911,216,854,000","145,739,686,800","1,934,264,840","143,805,421,960"
"46","2024","우주항공청",0,"2,566,472,360","2,566,472,360","395,308,174,100","371,757,877,420","23,550,296,680","2,368,661,000","21,181,635,680"
"47","2024","원자력안전위원회","1,840,000,000","2,166,590,800","326,590,800","136,045,000,000","134,388,503,360","1,656,496,640",0,"1,656,496,640"
"48","2024","인사혁신처","42,016,000,000","42,825,517,550","809,517,550","5,805,296,000,000","5,799,582,404,970","5,713,595,030",0,"5,713,595,030"
"49","2024","재외동포청","9,000,000","8,801,903,480","8,792,903,480","109,900,859,550","100,700,229,630","9,200,629,920","820,079,300","8,380,550,620"
"50","2024","조달청","802,688,000,000","912,531,452,530","109,843,452,530","817,870,318,890","800,884,657,080","16,985,661,810","3,390,000,080","13,595,661,730"
"51","2024","중소벤처기업부","213,471,000,000","251,427,904,540","37,956,904,540","6,659,784,000,000","6,572,118,859,310","87,665,140,690","1,110,621,590","86,554,519,100"
"52","2024","중앙선거관리위원회","10,017,000,000","5,670,562,600","-4,346,437,400","857,227,690,400","854,516,033,350","2,711,657,050","26,490,000","2,685,167,050"
"53","2024","진실·화해를위한과거사정리위원회",0,"96,082,330","96,082,330","18,030,168,780","16,728,442,080","1,301,726,700","308,940,000","992,786,700"
"54","2024","질병관리청","250,415,000,000","641,288,376,430","390,873,376,430","1,065,011,479,820","1,023,494,464,810","41,517,015,010","3,348,121,520","38,168,893,490"
"55","2024","통계청","3,610,000,000","3,366,410,590","-243,589,410","425,367,140,000","410,091,118,490","15,276,021,510","65,000,000","15,211,021,510"
"56","2024","통일부","1,448,000,000","1,300,375,110","-147,624,890","322,136,556,950","298,656,723,230","23,479,833,720","3,448,118,940","20,031,714,780"
